trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
21,11:43:00,11:43:00,node/6197947273,10,,,,,
21,11:46:00,11:46:00,node/6197929079,11,,,,,
22,11:46:00,11:46:00,node/6197929079,1,,,,,
22,11:48:00,11:48:00,node/6197929073,2,,,,,
22,11:49:00,11:49:00,node/6197929075,3,,,,,
22,11:50:00,11:50:00,node/6197929084,4,,,,,
22,11:51:00,11:51:00,node/6197929485,5,,,,,
22,11:52:00,11:52:00,node/6197929487,6,,,,,
22,11:53:00,11:53:00,node/6197947265,7,,,,,
22,11:54:00,11:54:00,node/6197947267,8,,,,,
22,11:54:51,11:54:51,node/6197947268,9,,,,,
22,11:56:00,11:56:00,node/6197947273,10,,,,,
22,11:59:00,11:59:00,node/6197929079,11,,,,,
23,11:59:00,11:59:00,node/6197929079,1,,,,,
23,12:01:00,12:01:00,node/6197929073,2,,,,,
23,12:02:00,12:02:00,node/6197929075,3,,,,,
23,12:03:00,12:03:00,node/6197929084,4,,,,,
23,12:04:00,12:04:00,node/6197929485,5,,,,,
23,12:05:00,12:05:00,node/6197929487,6,,,,,
23,12:06:00,12:06:00,node/6197947265,7,,,,,
23,12:07:00,12:07:00,node/6197947267,8,,,,,
23,12:07:51,12:07:51,node/6197947268,9,,,,,
23,12:09:00,12:09:00,node/6197947273,10,,,,,
23,12:12:00,12:12:00,node/6197929079,11,,,,,
46,17:30:00,17:30:00,node/6197929079,1,,,,,
46,17:32:00,17:32:00,node/6197929073,2,,,,,
46,17:33:00,17:33:00,node/6197929075,3,,,,,
46,17:34:00,17:34:00,node/6197929084,4,,,,,
46,17:35:00,17:35:00,node/6197929485,5,,,,,
46,17:36:00,17:36:00,node/6197929487,6,,,,,
46,17:37:00,17:37:00,node/6197947265,7,,,,,
46,17:38:00,17:38:00,node/6197947267,8,,,,,
46,17:38:51,17:38:51,node/6197947268,9,,,,,
46,17:40:00,17:40:00,node/6197947273,10,,,,,
46,17:43:00,17:43:00,node/6197929079,11,,,,,
47,17:43:00,17:43:00,node/6197929079,1,,,,,
47,17:45:00,17:45:00,node/6197929073,2,,,,,
47,17:46:00,17:46:00,node/6197929075,3,,,,,
47,17:47:00,17:47:00,node/6197929084,4,,,,,
47,17:48:00,17:48:00,node/6197929485,5,,,,,
47,17:49:00,17:49:00,node/6197929487,6,,,,,
47,17:50:00,17:50:00,node/6197947265,7,,,,,
47,17:51:00,17:51:00,node/6197947267,8,,,,,
47,17:51:51,17:51:51,node/6197947268,9,,,,,
47,17:53:00,17:53:00,node/6197947273,10,,,,,
47,17:56:00,17:56:00,node/6197929079,11,,,,,
44,17:04:00,17:04:00,node/6197929079,1,,,,,
44,17:06:00,17:06:00,node/6197929073,2,,,,,
44,17:07:00,17:07:00,node/6197929075,3,,,,,
44,17:08:00,17:08:00,node/6197929084,4,,,,,
44,17:09:00,17:09:00,node/6197929485,5,,,,,
44,17:10:00,17:10:00,node/6197929487,6,,,,,
44,17:11:00,17:11:00,node/6197947265,7,,,,,
44,17:12:00,17:12:00,node/6197947267,8,,,,,
44,17:12:51,17:12:51,node/6197947268,9,,,,,
44,17:14:00,17:14:00,node/6197947273,10,,,,,
44,17:17:00,17:17:00,node/6197929079,11,,,,,
45,17:17:00,17:17:00,node/6197929079,1,,,,,
45,17:19:00,17:19:00,node/6197929073,2,,,,,
45,17:20:00,17:20:00,node/6197929075,3,,,,,
45,17:21:00,17:21:00,node/6197929084,4,,,,,
45,17:22:00,17:22:00,node/6197929485,5,,,,,
45,17:23:00,17:23:00,node/6197929487,6,,,,,
45,17:24:00,17:24:00,node/6197947265,7,,,,,
45,17:25:00,17:25:00,node/6197947267,8,,,,,
45,17:25:51,17:25:51,node/6197947268,9,,,,,
45,17:27:00,17:27:00,node/6197947273,10,,,,,
45,17:30:00,17:30:00,node/6197929079,11,,,,,
28,13:04:00,13:04:00,node/6197929079,1,,,,,
28,13:06:00,13:06:00,node/6197929073,2,,,,,
28,13:07:00,13:07:00,node/6197929075,3,,,,,
28,13:08:00,13:08:00,node/6197929084,4,,,,,
28,13:09:00,13:09:00,node/6197929485,5,,,,,
28,13:10:00,13:10:00,node/6197929487,6,,,,,
28,13:11:00,13:11:00,node/6197947265,7,,,,,
28,13:12:00,13:12:00,node/6197947267,8,,,,,
28,13:12:51,13:12:51,node/6197947268,9,,,,,
28,13:14:00,13:14:00,node/6197947273,10,,,,,
28,13:17:00,13:17:00,node/6197929079,11,,,,,
29,13:17:00,13:17:00,node/6197929079,1,,,,,
29,13:19:00,13:19:00,node/6197929073,2,,,,,
29,13:20:00,13:20:00,node/6197929075,3,,,,,
29,13:21:00,13:21:00,node/6197929084,4,,,,,
29,13:22:00,13:22:00,node/6197929485,5,,,,,
29,13:23:00,13:23:00,node/6197929487,6,,,,,
29,13:24:00,13:24:00,node/6197947265,7,,,,,
29,13:25:00,13:25:00,node/6197947267,8,,,,,
29,13:25:51,13:25:51,node/6197947268,9,,,,,
29,13:27:00,13:27:00,node/6197947273,10,,,,,
29,13:30:00,13:30:00,node/6197929079,11,,,,,
40,16:12:00,16:12:00,node/6197929079,1,,,,,
40,16:14:00,16:14:00,node/6197929073,2,,,,,
40,16:15:00,16:15:00,node/6197929075,3,,,,,
40,16:16:00,16:16:00,node/6197929084,4,,,,,
40,16:17:00,16:17:00,node/6197929485,5,,,,,
40,16:18:00,16:18:00,node/6197929487,6,,,,,
40,16:19:00,16:19:00,node/6197947265,7,,,,,
40,16:20:00,16:20:00,node/6197947267,8,,,,,
40,16:20:51,16:20:51,node/6197947268,9,,,,,
40,16:22:00,16:22:00,node/6197947273,10,,,,,
40,16:25:00,16:25:00,node/6197929079,11,,,,,
41,16:25:00,16:25:00,node/6197929079,1,,,,,
41,16:27:00,16:27:00,node/6197929073,2,,,,,
41,16:28:00,16:28:00,node/6197929075,3,,,,,
41,16:29:00,16:29:00,node/6197929084,4,,,,,
41,16:30:00,16:30:00,node/6197929485,5,,,,,
41,16:31:00,16:31:00,node/6197929487,6,,,,,
41,16:32:00,16:32:00,node/6197947265,7,,,,,
41,16:33:00,16:33:00,node/6197947267,8,,,,,
41,16:33:51,16:33:51,node/6197947268,9,,,,,
41,16:35:00,16:35:00,node/6197947273,10,,,,,
41,16:38:00,16:38:00,node/6197929079,11,,,,,
1,07:13:00,07:13:00,node/6197929079,1,,,,,
1,07:15:00,07:15:00,node/6197929073,2,,,,,
1,07:16:00,07:16:00,node/6197929075,3,,,,,
1,07:17:00,07:17:00,node/6197929084,4,,,,,
1,07:18:00,07:18:00,node/6197929485,5,,,,,
1,07:19:00,07:19:00,node/6197929487,6,,,,,
1,07:20:00,07:20:00,node/6197947265,7,,,,,
1,07:21:00,07:21:00,node/6197947267,8,,,,,
1,07:21:51,07:21:51,node/6197947268,9,,,,,
1,07:23:00,07:23:00,node/6197947273,10,,,,,
1,07:26:00,07:26:00,node/6197929079,11,,,,,
0,07:00:00,07:00:00,node/6197929079,1,,,,,
0,07:02:00,07:02:00,node/6197929073,2,,,,,
0,07:03:00,07:03:00,node/6197929075,3,,,,,
0,07:04:00,07:04:00,node/6197929084,4,,,,,
0,07:05:00,07:05:00,node/6197929485,5,,,,,
0,07:06:00,07:06:00,node/6197929487,6,,,,,
0,07:07:00,07:07:00,node/6197947265,7,,,,,
0,07:08:00,07:08:00,node/6197947267,8,,,,,
0,07:08:51,07:08:51,node/6197947268,9,,,,,
0,07:10:00,07:10:00,node/6197947273,10,,,,,
0,07:13:00,07:13:00,node/6197929079,11,,,,,
3,07:39:00,07:39:00,node/6197929079,1,,,,,
3,07:41:00,07:41:00,node/6197929073,2,,,,,
3,07:42:00,07:42:00,node/6197929075,3,,,,,
3,07:43:00,07:43:00,node/6197929084,4,,,,,
3,07:44:00,07:44:00,node/6197929485,5,,,,,
3,07:45:00,07:45:00,node/6197929487,6,,,,,
3,07:46:00,07:46:00,node/6197947265,7,,,,,
3,07:47:00,07:47:00,node/6197947267,8,,,,,
3,07:47:51,07:47:51,node/6197947268,9,,,,,
3,07:49:00,07:49:00,node/6197947273,10,,,,,
3,07:52:00,07:52:00,node/6197929079,11,,,,,
2,07:26:00,07:26:00,node/6197929079,1,,,,,
2,07:28:00,07:28:00,node/6197929073,2,,,,,
2,07:29:00,07:29:00,node/6197929075,3,,,,,
2,07:30:00,07:30:00,node/6197929084,4,,,,,
2,07:31:00,07:31:00,node/6197929485,5,,,,,
2,07:32:00,07:32:00,node/6197929487,6,,,,,
2,07:33:00,07:33:00,node/6197947265,7,,,,,
2,07:34:00,07:34:00,node/6197947267,8,,,,,
2,07:34:51,07:34:51,node/6197947268,9,,,,,
2,07:36:00,07:36:00,node/6197947273,10,,,,,
2,07:39:00,07:39:00,node/6197929079,11,,,,,
5,08:05:00,08:05:00,node/6197929079,1,,,,,
5,08:07:00,08:07:00,node/6197929073,2,,,,,
5,08:08:00,08:08:00,node/6197929075,3,,,,,
5,08:09:00,08:09:00,node/6197929084,4,,,,,
5,08:10:00,08:10:00,node/6197929485,5,,,,,
